age,sex,earnings
16,1,11037.06031
17,1,11037.06031
18,1,13935.38649
19,1,16833.71268
20,1,19732.03886
21,1,21107.03603
22,1,22482.03319
23,1,23857.03036
24,1,25232.02753
25,1,26607.0247
26,1,27982.02187
27,1,28862.90484
28,1,29743.78782
29,1,30624.67079
30,1,31505.55377
31,1,32386.43674
32,1,33267.31972
33,1,34148.20269
34,1,35029.08566
35,1,35909.96864
36,1,36299.33973
37,1,36688.71083
38,1,37078.08192
39,1,37467.45301
40,1,37856.82411
41,1,38246.1952
42,1,38635.56629
43,1,39024.93738
44,1,39414.30848
45,1,39803.67957
46,1,39708.82526
47,1,39613.97095
48,1,39519.11664
49,1,39424.26233
50,1,39329.40801
51,1,39234.5537
52,1,39139.69939
53,1,39044.84508
54,1,38949.99077
55,1,38855.13646
56,1,38134.55597
57,1,37413.97548
58,1,36693.39499
59,1,35972.8145
60,1,35252.23401
61,1,34531.65352
62,1,33811.07303
63,1,33450.78279
64,1,33450.78279
16,2,9602.53523
17,2,9602.53523
18,2,12444.2611
19,2,15285.98698
20,2,18127.71285
21,2,19408.05088
22,2,20688.38891
23,2,21968.72694
24,2,23249.06497
25,2,24529.403
26,2,25809.74103
27,2,26568.96587
28,2,27328.19071
29,2,28087.41555
30,2,28846.64039
31,2,29605.86523
32,2,30365.09006
33,2,31124.3149
34,2,31883.53974
35,2,32642.76458
36,2,32566.0614
37,2,32489.35822
38,2,32412.65505
39,2,32335.95187
40,2,32259.24869
41,2,32182.54551
42,2,32105.84233
43,2,32029.13916
44,2,31952.43598
45,2,31875.7328
46,2,31663.18888
47,2,31450.64496
48,2,31238.10104
49,2,31025.55712
50,2,30813.0132
51,2,30600.46928
52,2,30387.92536
53,2,30175.38144
54,2,29962.83752
55,2,29750.2936
56,2,29281.09655
57,2,28811.89951
58,2,28342.70246
59,2,27873.50541
60,2,27404.30837
61,2,26935.11132
62,2,26465.91427
63,2,26231.31575
64,2,26231.31575
