age,sex,Incidence,mortality_uplift,condition,delta_incidence
18,2,9.38E-05,124.1176674,Stroke,-0.05
19,2,9.38E-05,125.9461476,Stroke,-0.05
20,2,9.38E-05,143.5939086,Stroke,-0.05
21,2,1.00E-04,224.3990239,Stroke,-0.05
22,2,1.00E-04,188.7707313,Stroke,-0.05
23,2,1.00E-04,218.8140483,Stroke,-0.05
24,2,1.00E-04,203.6177193,Stroke,-0.05
25,2,1.00E-04,174.5570106,Stroke,-0.05
26,2,1.28E-04,276.0951707,Stroke,-0.05
27,2,1.28E-04,240.9968213,Stroke,-0.05
28,2,1.28E-04,233.7728367,Stroke,-0.05
29,2,1.28E-04,219.8650257,Stroke,-0.05
30,2,1.28E-04,187.0937919,Stroke,-0.05
31,2,1.83E-04,223.6004479,Stroke,-0.05
32,2,1.83E-04,187.4342424,Stroke,-0.05
33,2,1.83E-04,173.6096694,Stroke,-0.05
34,2,1.83E-04,149.4002986,Stroke,-0.05
35,2,1.83E-04,146.4852928,Stroke,-0.05
36,2,2.64E-04,156.6068451,Stroke,-0.05
37,2,2.64E-04,135.3291135,Stroke,-0.05
38,2,2.64E-04,129.4732869,Stroke,-0.05
39,2,2.64E-04,123.951047,Stroke,-0.05
40,2,2.64E-04,115.5515644,Stroke,-0.05
41,2,3.76E-04,119.4928892,Stroke,-0.05
42,2,3.76E-04,106.6132273,Stroke,-0.05
43,2,3.76E-04,98.24873322,Stroke,-0.05
44,2,3.76E-04,86.95291883,Stroke,-0.05
45,2,3.76E-04,79.85588883,Stroke,-0.05
46,2,5.18E-04,83.98177813,Stroke,-0.05
47,2,5.18E-04,77.26159813,Stroke,-0.05
48,2,5.18E-04,68.12148051,Stroke,-0.05
49,2,5.18E-04,64.94772841,Stroke,-0.05
50,2,5.18E-04,59.99215039,Stroke,-0.05
51,2,6.89E-04,65.44001619,Stroke,-0.05
52,2,6.89E-04,62.17430108,Stroke,-0.05
53,2,6.89E-04,58.15988013,Stroke,-0.05
54,2,6.89E-04,55.05599383,Stroke,-0.05
55,2,6.89E-04,49.54426805,Stroke,-0.05
56,2,8.88E-04,50.76414595,Stroke,-0.05
57,2,8.88E-04,47.26500167,Stroke,-0.05
58,2,8.88E-04,42.57256563,Stroke,-0.05
59,2,8.88E-04,40.04964331,Stroke,-0.05
60,2,8.88E-04,35.70563183,Stroke,-0.05
61,2,0.001184967,40.02463356,Stroke,-0.05
62,2,0.001184967,34.94861466,Stroke,-0.05
63,2,0.001184967,32.94048777,Stroke,-0.05
64,2,0.001184967,30.85046008,Stroke,-0.05
65,2,0.001184967,28.13017334,Stroke,-0.05
66,2,0.001579411,33.40424176,Stroke,-0.05
67,2,0.001579411,30.80753346,Stroke,-0.05
68,2,0.001579411,27.5202559,Stroke,-0.05
69,2,0.001579411,25.96492899,Stroke,-0.05
70,2,0.001579411,23.02811452,Stroke,-0.05
71,2,0.002450609,30.42373659,Stroke,-0.05
72,2,0.002450609,26.92436877,Stroke,-0.05
73,2,0.002450609,24.16750933,Stroke,-0.05
74,2,0.002450609,21.3699233,Stroke,-0.05
75,2,0.002450609,19.5092931,Stroke,-0.05
76,2,0.003803659,3,Stroke,-0.05
77,2,0.003803659,3,Stroke,-0.05
78,2,0.003803659,3,Stroke,-0.05
79,2,0.003803659,3,Stroke,-0.05
80,2,0.003803659,3,Stroke,-0.05
81,2,0.006406636,2,Stroke,-0.05
82,2,0.006406636,2,Stroke,-0.05
83,2,0.006406636,2,Stroke,-0.05
84,2,0.006406636,2,Stroke,-0.05
85,2,0.006406636,1.5,Stroke,-0.05
86,2,0.010248823,1.5,Stroke,-0.05
87,2,0.010248823,1.5,Stroke,-0.05
88,2,0.010248823,1.5,Stroke,-0.05
89,2,0.010248823,1.5,Stroke,-0.05
90,2,0.010248823,1.5,Stroke,-0.05
91,2,0.014069076,1.5,Stroke,-0.05
92,2,0.014069076,1.5,Stroke,-0.05
93,2,0.014069076,1.5,Stroke,-0.05
94,2,0.014069076,1.5,Stroke,-0.05
95,2,0.014069076,1.5,Stroke,-0.05
96,2,0.017778574,1.5,Stroke,-0.05
97,2,0.017778574,1.5,Stroke,-0.05
98,2,0.017778574,1.5,Stroke,-0.05
99,2,0.017778574,1.5,Stroke,-0.05
100,2,0.017778574,1.5,Stroke,-0.05
18,1,6.66E-05,116.9290169,Stroke,-0.05
19,1,6.66E-05,105.1964417,Stroke,-0.05
20,1,6.66E-05,83.52199101,Stroke,-0.05
21,1,7.44E-05,188.3929374,Stroke,-0.05
22,1,7.44E-05,192.4403011,Stroke,-0.05
23,1,7.44E-05,186.4327603,Stroke,-0.05
24,1,7.44E-05,173.4452518,Stroke,-0.05
25,1,7.44E-05,165.1423322,Stroke,-0.05
26,1,9.73E-05,235.7123954,Stroke,-0.05
27,1,9.73E-05,228.4904755,Stroke,-0.05
28,1,9.73E-05,212.5769924,Stroke,-0.05
29,1,9.73E-05,203.5600125,Stroke,-0.05
30,1,9.73E-05,183.3040112,Stroke,-0.05
31,1,1.43E-04,184.3533027,Stroke,-0.05
32,1,1.43E-04,185.0630574,Stroke,-0.05
